No,物件種目,住所,登録価格（万円）,成約価格（万円）,交通,土地権利,建ぺい率,用途地域,坪単価（万円）,容積率,土地面積（㎡）,土地面積（坪）,公開日,成約日,私道面積,私道持分,条件
556,売地,袋井市久能字清ヶ谷2614番、2618番他65号地,1265,1265,東海道本線/バス停,所有権,60,無指定,21.0,200,202.04,60,2024/12/27,2024/12/28,-,-,建築条件付
565,売地,袋井市月見町12番4,35,500,バス停/バス停,所有権,60,-,1.0,150,118,35,2025/1/30,2025/3/7,-,-,現況渡し
563,売地,袋井市高尾,990,990,東海道本線,所有権,50,１種低層,13.9,100,239.29,71,2023/4/29,2023/6/23,-,-,更地渡し
560,売地,袋井市高尾,790,790,東海道本線,所有権,50,１種低層,9.8,100,270.02,80,2023/6/3,2023/6/18,-,-,更地渡し
561,売地,袋井市高尾1496番43,900,900,東海道本線,所有権,50,１種低層,12.8,100,236.56,70,2023/4/15,-,-,-,相談
564,売地,袋井市高尾1559-80,1150,1150,東海道本線/バス停,所有権,50,１種低層,17.1,100,225.67,67,2024/7/22,2024/9/27,-,-,更地渡し
562,売地,袋井市高尾1630-7,980,950,東海道本線,所有権,50,１種低層,16.1,100,204,61,2024/5/16,2024/6/11,-,-,現況渡し
553,売地,袋井市国本,650,650,バス停,所有権,60,無指定,7.4,200,294.2,88,2023/12/27,2024/1/28,-,-,現況渡し
552,売地,袋井市国本2212,445,445,東海道本線/バス停,所有権,60,無指定,8.6,200,173.3,52,2024/8/28,2024/11/1,-,-,相談
572,売地,袋井市山科3032-1,8,8,東海道本線,所有権,60,工業地域,0.0,200,940,280,2024/4/6,2024/4/27,-,-,更地渡し
602,売地,袋井市松原,550,550,東海道本線,所有権,60,無指定,8.1,200,227.48,68,2024/1/9,2024/3/3,-,-,現況渡し
548,売地,袋井市上山梨,1500,1500,バス停,所有権,30,１種低層,15.8,50,318,95,2024/6/12,2024/7/28,-,-,相談
547,売地,袋井市上山梨1451,1300,1080,バス停,所有権,60,１種住居,13.0,200,335.92,100,2023/7/28,2023/9/12,-,-,更地渡し
546,売地,袋井市上山梨925ー5,240,240,バス停,所有権,60,-,8.1,150,99.5,30,2024/12/29,2025/3/31,-,-,現況渡し
568,売地,袋井市新池789,950,940,東海道本線,所有権,60,１種住居,11.6,200,274,82,2024/9/23,2024/10/31,-,-,更地渡し
569,売地,袋井市西田55-6,1980,1730,東海道本線,所有権,60,工業地域,17.7,200,374.83,112,2024/8/1,2024/8/30,-,-,現況渡し
591,売地,袋井市浅羽,1000,1000,東海道本線,所有権,60,-,12.2,100,274.92,82,2023/10/8,2023/11/28,-,-,相談
592,売地,袋井市浅羽,1000,1000,東海道本線,所有権,60,-,12.2,100,275.12,82,2023/7/27,2023/10/7,-,-,相談
582,売地,袋井市浅羽,720,720,東海道本線,所有権,60,無指定,11.9,200,203.95,61,2023/8/25,2023/10/29,-,-,更地渡し
590,売地,袋井市浅羽,980,980,東海道本線,所有権,60,-,11.5,100,286.45,85,2024/7/11,2024/8/11,-,-,現況渡し
583,売地,袋井市浅羽,720,720,東海道本線,所有権,60,無指定,10.9,200,222.18,66,2023/8/25,2023/10/14,-,-,更地渡し
585,売地,袋井市浅羽1354,780,780,東海道本線,所有権,60,-,7.5,100,348,104,2024/2/19,2024/4/7,-,-,更地渡し
593,売地,袋井市浅羽1661-7,1070,1070,東海道本線,所有権,60,１種住居,15.5,100,232.32,69,2025/2/28,2025/4/13,-,-,更地渡し
588,売地,袋井市浅羽1690-5,890,890,東海道本線,所有権,60,-,14.1,100,212.11,63,2024/7/31,2024/8/22,-,-,現況渡し
584,売地,袋井市浅羽1781-7,740,680,東海道本線,所有権,60,-,12.3,100,202.28,60,2024/9/14,-,-,-,現況渡し
594,売地,袋井市浅羽2204-1,1350,1350,バス停,所有権,60,-,6.4,100,711.62,212,2025/2/7,2025/3/27,-,-,相談
580,売地,袋井市浅羽2411-1,650,600,東海道本線,所有権,60,-,9.0,100,243,72,2023/3/31,2023/4/22,-,-,現況渡し
587,売地,袋井市浅羽2428-9,860,860,東海道本線,所有権,60,-,10.1,100,285,85,2024/2/5,2024/3/30,-,-,更地渡し
581,売地,袋井市浅羽820番1、1105番6A区画,720,720,東海道本線/バス停停歩5分/バス停,所有権,60,無指定,10.9,200,221.68,66,2023/10/16,2023/11/25,-,-,現況渡し
